実行日時,実行環境,手法,MAE,MAE_std,RMSE,MAPE,R2,行数,fold数,seed,備考
2026-08-29 16:37,mac,0  中央値,9280.034,58.148,13530.968,93.49,-0.0856,60000,5,42,予測しない場合の下限
2026-08-29 16:37,mac,A1 線形回帰・構造化列,5025.761,30.879,7292.631,60.45,0.6846,60000,5,42,Ridge + one-hot。model を使わない従来手法の再現
2026-08-29 16:37,mac,A2 LightGBM・構造化列,3233.538,22.061,5288.855,33.01,0.834,60000,5,42,A1と同じ列。モデルを木に替えた効果
2026-08-29 16:37,mac,B1 + model そのまま,2885.551,20.136,4865.071,30.28,0.8595,60000,5,42,"自由記述9,611水準をそのままカテゴリ扱い"
2026-08-29 16:38,mac,B2 + model を手書きルールで正規化,2782.948,6.947,4751.044,29.64,0.866,60000,5,42,"区切り記号以降を捨て先頭2語。5,156水準。シエンタの正規表現抽出に相当"
2026-08-29 16:38,mac,C1 + model の単語TF-IDF,2761.342,17.239,4705.604,29.41,0.8686,60000,5,42,"min_df=5, max_features=300。ルールを書かずに語で持つ"
2026-08-29 16:39,mac,C2 + model の文字TF-IDF,2639.658,15.753,4492.627,28.68,0.8802,60000,5,42,"char_wb 2-4gram, max_features=1000。表記ゆれを部分文字列で吸収"
2026-08-29 16:42,mac,E  B2 + description の単語TF-IDF,2616.398,20.234,4478.834,27.06,0.8809,60000,5,42,"自由記述本体（平均2,972文字）を足した場合の上積み"
2026-08-29 16:52,mac,※重複あり A2 LightGBM・構造化列,3269.738,28.851,5125.602,28.03,0.8668,60000,5,42,重複排除をしない場合。正しい値は同名の行を参照
2026-08-29 16:53,mac,※重複あり C2 + model の文字TF-IDF,2528.866,32.18,4127.457,23.37,0.9136,60000,5,42,重複排除をしない場合。正しい値は同名の行を参照
2026-08-29 16:58,mac,D1 構造化列+model の埋め込み,2620.327,7.735,4482.095,28.48,0.8808,60000,5,42,★本命。B2(手書きルール)・C2(文字TF-IDF)と同じ土俵での比較
2026-08-29 16:59,mac,D2 D1のPCA64次元版,2657.112,12.656,4512.304,28.79,0.8792,60000,5,42,384次元を64次元に圧縮。次元数が効いているかの確認
