IDLink,Title,Headline,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn
11880,UK tipped to become world's fourth-largest economy in 2030s,"The UK will surpass both Germany and Japan in the next two decades to become the fourth-largest economy in the world, the Centre for Economics and Business Research (CEBR) has predicted. The CEBR report also released a future world economic league table. &quot;The UK's strength is its cultural diversity and its strong position in software and IT applications. ",International Business Times via Yahoo UK & Ireland News,economy,2015-12-26 00:19:00,0,0.0363092188706945,5,0,0
14914,New Windows 10 stats show Microsoft is closely watching you  but ...,Microsoft's Yusuf Mehdi has published a new blog post discussing various aspects of Windows 10 adoption and how quickly the OS is being,ExtremeTech,microsoft,2016-01-07 19:20:24,0.0387049609447694,-0.0843919502240957,236,26,5
19036,Any talk about economy missing in U.S. presidential race,"On both the Republican and Democratic sides, the state of the world's largest economy is mentioned, of course. But the exchanges in debates",The Japan Times,economy,2016-01-24 08:54:19,0.167996000696445,0.0260643017571343,0,0,0
40812,Sanders Will Travel To Vatican To Speak About 'Moral Economy ...,"Sanders Will Travel To Vatican To Speak About 'Moral Economy' on how to create &quot;a moral economy,&quot; he announced Friday morning.",TPM,economy,2016-04-08 14:21:20,0.158113883008419,0.130321508785672,38,0,0
36947,Sunway Property offers buyers financial help amid softer economy,Sunway Property managing director Sarena Cheah said that this was to address issues arising from economic uncertainties that were affecting,The Star Online,economy,2016-03-29 10:59:23,0.0694444444444443,0,185,1,1
35711,Art Basel Hong Kong Braces for a Slower Economy,"As China's economy slows, galleries at Art Basel Hong Kong are taking smaller risks, focusing on top-selling names and emerging artists.",Wall Street Journal (subscription),economy,2016-03-23 11:00:45,-0.0416666666666667,0.186550626811159,7,3,4
31599,Microsoft Kuwait to host 'Innovation Bazaar',"KUWAIT: Microsoft Kuwait will showcase the latest innovative solutions at the """"""Microsoft Innovation Bazaar"""""" on Sunday 20th March 2016 from",Kuwait Times,microsoft,2016-03-15 19:06:37,-0.102062072615966,0.0860309002014606,0,0,0
99367,Scots MP to raise parliamentary questions over Palestinian ...,AN outraged MP is to raise a parliamentary question demanding answer over how a Palestinian photo-journalist planning a tour of Scotland to show his work,Herald Scotland,palestine,2016-06-02 00:35:40,0.0349133973210858,-0.178452063799696,2,0,0
100109,Obama could soon endorse Hillary Clinton,President Obama will soon publicly endorse Hillary Clinton and will aggressively campaign for her the coming months. ,ABC 15 Phoenix,obama,2016-06-06 13:32:00,-0.0510310363079829,0.159164003930094,2,0,0
42753,Red Thursday: Alberta opts to spend big to keep economy from ...,"Ceci told reporters that making deep cuts to a tanking oil-powered economy would only make things worse. """"""We are continuing to put the pedal",680 News,economy,2016-04-15 15:01:17,-0.265392798091886,0.04544,0,0,0
