fold,実際,機能B,confidence,由来,理由,LightGBM,XGBoost
1,188.6,198.0,0.55,llm,統計モデル約189万を出発点に、類似事例（194〜222万）が全体的に高めであることを考慮し、やや上方修正した。走行距離が類似事例より多い点は減額要因。,188.73755657990424,190.68392944335938
1,272.8,283.0,0.7,llm,統計モデル（279〜281万）を起点に、Zグレード・低走行2万km・ワンオーナー・装備充実（後側方検知等12点）を加点。類似事例は269〜297万で整合的。,279.0063897573159,281.4422607421875
1,135.7,131.0,0.62,llm,統計モデル2つがほぼ130万で一致しており出発点とした。類似事例は119〜151万と幅があるが、ワンオーナー・保証付・低走行というプラス要素と装備の少なさが相殺するため、ほぼモデル値どおりとした。,130.2084300869451,130.63497924804688
1,137.8,138.0,0.6,llm,統計モデル予測(140〜144万)を出発点とし、ほぼ同一条件の事例2(135.8万)を重視して微調整した。他の類似事例は修復歴ありや非HVで参考度が低い。,143.75933078463595,140.2199249267578
1,115.4,120.0,0.5,llm,統計モデル予測（102〜109万円）を出発点としつつ、類似事例はいずれも140万円超で、査定対象もTRDエアロ・装備14点と充実しているため上振れを見込み、両者の中間寄りの120万円とした。,102.30937719866972,108.55258178710938
1,160.7,161.0,0.62,llm,LightGBM163.8とXGBoost157.8の中間を出発点とし、同グレード・同年式・低走行の類似事例（138.8〜165.8）とも整合。紫という不人気色をやや減点した。,163.7502682802405,157.7646026611328
1,148.3,146.0,0.6,llm,統計モデル予測(144〜156)を出発点に、走行4.6万kmと車齢8年で類似事例中の低走行例(155.7、135.1)に近い条件のため中間値を採用。ETC非装備など軽微なマイナスを考慮した。,155.52481899842726,143.67166137695312
1,227.1,243.5,0.72,llm,統計モデルは約239万だが、ほぼ同一条件の類似事例（245.9〜248.9万）がやや高いため、両者の中間よりやや高めに設定した。,240.17683765493067,238.3907470703125
1,118.0,116.0,0.55,llm,統計モデル（117〜122万円）を出発点とし、装備が3点と少なくグレードもXである点を考慮してやや下方に調整した。類似事例は装備数が多い車が125〜147万円のため、装備の少ない本件は下限寄りが妥当と判断。,116.84896362415373,122.11279296875
1,240.5,209.0,0.6,llm,統計モデル(209〜219)を出発点に、車齢6年・低走行で装備充実の類似事例3(210.4万)がほぼ同条件のため、その水準を重視して約209万と判断した。,218.99200843535993,208.85641479492188
1,109.9,104.0,0.62,llm,統計モデル予測(107〜116)を出発点に、類似事例が87〜134で中心100前後であることを踏まえやや下方修正。装備は充実だが安全支援装備やバックカメラが無い点を考慮。,106.63756909406312,115.5516357421875
1,129.9,140.0,0.66,llm,統計モデル（139〜143万）を出発点とし、非HVで走行少なめ・フリップダウンモニター等の装備を考慮。非HVの類似事例(117〜135万)はやや低いが、走行距離の少なさで補正した。,139.1774721534547,142.8826141357422
1,307.2,300.0,0.75,llm,両モデルが約300万円で一致し、車齢2年・低走行の類似事例2（300万円）とも整合するため。装備も標準的で加減の必要は小さいと判断。,300.0547578308691,300.7248840332031
1,185.8,175.0,0.62,llm,統計モデル約166万を出発点に、類似事例が180〜220万台と高めで、ハイブリッド・充実装備・禁煙・保証付を評価し僅かに上振れさせた。ただし走行7.1万kmと車齢7年は事例より不利なため上げ幅は限定。,166.68535465761082,165.89639282226562
1,263.8,268.0,0.72,llm,統計モデル267〜271を出発点に、最も似た事例1（268.8万）と事例3（271万）が同水準で整合。装備・状態も平均的なため中間値とした。,266.90851947187105,270.5875549316406
1,54.8,65.0,0.6,llm,統計モデル(61〜69万)を出発点とし、同グレード「ダイス」で走行距離も近い事例2(63.6万)が最も参考になる。装備が充実し走行距離も少ないため中間よりやや上の65万とした。,68.83590203401145,61.234535217285156
1,168.3,180.0,0.6,llm,統計モデル約174万を出発点に、走行3.6万kmと低走行・ワンオーナー・全周囲カメラ等の装備充実、同グレード類似事例(199.1万/140万)の中間帯を考慮し、やや上方修正した。,174.83245572208907,173.82452392578125
1,99.8,124.0,0.6,llm,統計モデル(115〜120万)を出発点に、車齢11年ながら走行4.4万kmと少なく修復歴なし、装備も充実（前後ドラレコ・両側パワスラ・衝突軽減）である点を小幅にプラス評価。類似事例は車齢が若く価格が高いため重み付けを抑えた。,119.7351339528511,115.08837890625
1,94.0,103.0,0.55,llm,統計モデル（95〜104万）を起点とし、Xグレード・左側のみパワースライド・スマートキー記載なしと装備が類似事例のGグレードより劣る点を考慮。走行8.7万kmで車検残も短いため上位事例の150万帯には届かず、100万前後と判断。,95.33069508860511,104.1135025024414
1,110.0,113.0,0.62,llm,統計モデル予測(109〜113)を出発点とし、類似のHV・Gグレード事例が108〜119万円に分布することから、やや上限寄りの113万円と判断した。,112.65290898606258,108.70933532714844
1,291.0,295.0,0.78,llm,統計モデルは301前後だが、ほぼ同一条件の類似事例1・2が289〜293で成約しており、真珠色の小幅プラスを加味して295とした。,301.1931111743221,302.88232421875
1,244.0,265.0,0.62,llm,統計モデル2つが約266〜268万で一致しており出発点とした。類似事例のうち条件が近い事例5（276万）はハイブリッドで走行も少なく、本車は非HVのためわずかに下方修正した。,267.6494469092083,266.26544189453125
1,112.2,118.0,0.5,llm,統計モデル(117.5〜126.7)を出発点とし、装備が充実(両側電動スライド・LED・衝突軽減・禁煙)で4WDな点はプラスだが、類似事例に65〜118万の低めの例もあるためやや下寄りの118万とした。,117.52487003330646,126.71189880371094
1,175.8,175.0,0.5,llm,統計モデルは約190万円だが、車齢8年の類似事例（108〜150万円）はやや低め。ハイブリッド・装備充実・低走行を評価しつつ、モデル値をやや下方修正した。,192.26337466445364,189.52955627441406
1,303.9,303.5,0.72,llm,LightGBM/XGBoostがほぼ一致して304万円前後を示し、車齢2年・低走行という条件は類似事例3（305万円）に近い。装備は標準的で大きな加減点はないと判断した。,304.7658354179934,303.3306579589844
1,194.7,210.0,0.62,llm,統計モデル2つ(205〜208万円)を出発点とし、類似事例のうち非HVで同年式・低走行の例(179〜226万円)を踏まえ、走行1.8万kmと低走行・保証付を軽微にプラス評価した。,205.25341735852572,208.4321746826172
1,154.5,157.0,0.6,llm,統計モデル2つ（153〜156万）を出発点とし、走行距離8.8万kmとやや多いものの、認定中古車・ワンオーナー・TSS/ICS・ドラレコ等装備が充実している点をわずかに上乗せした。類似事例は走行距離が少なく直接比較しにくい。,153.201609185145,155.51527404785156
1,75.0,80.0,0.6,llm,"統計モデル予測（83.5〜92.5）を出発点にしつつ、最も近い事例1（同県・同グレード・走行距離ほぼ同じで70万円）や走行距離97,000kmという多走行を考慮して下方修正した。",83.51999567122972,92.53401947021484
1,274.3,280.0,0.6,llm,統計モデル（283〜286万）を起点に、類似の同グレードZ・車齢4年事例が271万台、HVプレミアム分を加味してやや下方修正した280万とした。,283.37046330218686,286.2176208496094
1,192.4,181.0,0.6,llm,統計モデル(175〜183万)を出発点に、同グレード・同県の非HV類似事例(181.6〜199.4万)がやや上を示す一方、装備数はやや少ないため中央付近の181万と判断。,182.58217891581816,175.7410125732422
1,280.0,289.0,0.7,llm,統計モデル約286万円を出発点とし、最も似たガソリンGグレードの事例1（283万円）と整合的。5年保証・Tコネクト5年付きの分をわずかに上乗せした。,286.24973777850084,285.5309143066406
1,323.9,310.0,0.5,llm,統計モデル（336〜347万円）を出発点にしつつ、類似事例が242〜296万円と一段低いため下方修正。4WD寒冷地仕様・低走行・修復歴なしの上位グレードである点を加味し中間よりやや上に設定。,336.3901099067865,347.142822265625
1,289.9,307.0,0.68,llm,LightGBM・XGBoostの予測(306〜310万)を出発点とし、車齢1年・低走行・Zグレード・充実装備で類似事例上位(300〜310万)とも整合するため、ほぼモデル予測どおりとした。,305.8839290580711,309.68804931640625
1,255.2,242.0,0.75,llm,統計モデル（239〜244万円）を起点に、非ハイブリッドで条件がほぼ一致する広島県の類似事例（238.7〜239.8万円）と、走行距離がやや少ない点を加味して微調整した。,243.5685477933518,239.00872802734375
1,169.4,157.0,0.6,llm,統計モデル予測は約166万だが、類似事例が143〜165万に集中しており、やや下方に補正した。同グレード・ハイブリッド・保証付きの条件は良好なため中位やや上を採用。,165.8894666487402,167.60250854492188
1,165.0,160.0,0.45,llm,統計モデル予測(150-155万)を出発点に、装備なし・同条件の最類似事例2件が164-165万であることを踏まえ、やや上方修正した。装備充実事例(185-200万)は条件が異なるため重み低め。,154.62411658558514,150.68692016601562
1,259.0,253.0,0.62,llm,統計モデル2つが252〜255で一致しており、これを出発点とした。類似事例のZグレード（258〜295）はより低走行・低年式で高め、下位グレード事例は低めであり、装備は標準的なため予測値をほぼそのまま採用した。,252.31680731808163,255.2122802734375
1,293.0,296.0,0.72,llm,統計モデル予測290〜295を出発点に、同グレードZの類似事例(286〜297)がほぼ一致するため中央付近を採用。真珠色でわずかに加点。,295.25387005122593,290.5308532714844
1,304.0,290.0,0.63,llm,統計モデル2つが290前後で一致し、最も条件の近い事例5（車齢3・Zグレード・HV）が284万円と整合的。装備が充実している分やや上振れを見込んだ。,292.43415255700586,290.51605224609375
1,251.0,253.0,0.6,llm,統計モデル2つが258前後で一致しており出発点とした。類似事例はいずれも車齢6〜7年で価格が低く、車齢3年・上級Zグレードの査定対象より条件が劣るため、やや控えめに調整した。,257.83443167390163,259.09979248046875
1,118.8,126.0,0.5,llm,統計モデル2つ（130/127）を出発点とし、類似事例は車齢が古いものが多く価格が低めなのでやや下方に寄せた。両側電動スライドドアや保証付きはプラス要素と評価。,130.0127815405131,126.81615447998047
1,126.5,126.0,0.6,llm,統計モデル(125〜135万)を出発点に、低走行(4万km)は加点だが修復歴ありが大きな減点要因のため、類似事例のハイブリッドG帯(120〜155万)の下寄りに調整した。,134.59793126512687,125.29075622558594
1,195.0,178.0,0.68,llm,統計モデル2つが175〜177万でほぼ一致し、装備・年式が近い事例4(179万)や事例5(175.8万)とも整合的。9型ナビ等の装備は標準的な範囲のため微増に留めた。,177.19207817743884,175.43568420410156
1,183.0,232.0,0.62,llm,LightGBMとXGBoostの中間を出発点に、最類似の事例1(208.9、走行距離が多い)より低走行で装備も同等以上な点を加味して若干上振れさせた。,239.58788814371604,228.42991638183594
1,110.5,115.0,0.5,llm,統計モデル予測(約125万円)を出発点としつつ、類似事例の多くが75〜128万円と下寄りに分布するため、やや下方に調整した。無事故・保証付き・低走行・装備充実は加点材料。,124.71958727624882,125.72232055664062
1,187.0,215.0,0.4,llm,統計モデルは180〜195万円だが、類似事例は上位グレードZで約298万円と大きく乖離。査定対象はシエンタ ファンベースX相当の下位グレードのため、モデル予測を軸にしつつ類似事例の高値をやや加味して上振れさせた。,195.14137892096772,182.133056640625
1,79.8,99.0,0.45,llm,統計モデル（89〜96万）を出発点に、装備充実（セーフティセンス・両側パワスラ・前後ドラレコ）と車検整備付を加点。ただし走行97千kmと福祉車両（ウェルキャブ）で需要が限定的なため類似事例の130万台までは上げず、やや上方修正の99万とした。,88.90778130774966,95.85971069335938
1,178.2,170.0,0.55,llm,統計モデル(174〜179万)を出発点とし、類似事例はいずれも車齢8年以上で価格が低く直接比較しにくいため参考程度に留めた。車齢4年・4WD・保証付だが装備はやや控えめなので若干下方修正した。,174.44881580757675,178.73516845703125
1,96.0,95.0,0.6,llm,"統計モデル約90-92万円を基準に、走行45,000kmと低走行・装備10点を評価し、類似の同グレードX事例(110〜116万円)が保証付きである点を割り引いて小幅に上振れさせた。",91.66124691846335,90.17572784423828
1,89.0,106.0,0.62,llm,統計モデル予測(107〜115)を出発点に、走行10万kmで最も近い類似事例(99、95.8)がやや低いことを踏まえ小幅に下方修正。装備は充実し保証・車検整備付なので大きくは下げなかった。,115.2034000061209,107.25985717773438
1,117.0,130.0,0.6,llm,統計モデル予測（131〜134万円）を出発点とし、低走行3.9万km・修復歴なし・保証付きはプラス要因だが、類似事例の多くが90〜132万円台に収まるため僅かに下方修正した。,133.5505098767624,131.33494567871094
1,232.9,238.0,0.6,llm,統計モデルの233〜235万を出発点に、最類似の232.9万と、装備が充実した同型事例群の237〜249万を考慮して やや上振れさせた。,234.89448005848607,232.9635772705078
1,229.0,235.0,0.66,llm,統計モデル予測(233〜237)を出発点とし、車齢3年・低走行で類似事例1・2・4が238〜245であることを踏まえ、やや上寄りの235万円とした。,232.94021827366072,237.1902618408203
1,105.3,124.0,0.5,llm,統計モデル（113〜119万）を出発点に、低走行(2.7万km)・福祉車両ウェルキャブで装備も充実している点をやや上乗せ。類似事例は120〜144万が中心で、車齢10年相当の事例5(120.4万)が最も近い。,118.9127108089188,113.24108123779297
1,279.8,289.0,0.6,llm,LightGBM/XGBoostの予測（286〜289）を出発点とし、ほぼ同条件の類似事例が278〜319万円と幅広いためモデル値を採用。黒・Zグレードで大きな減点要素もない。,289.30354815558,285.8405456542969
1,345.9,323.0,0.6,llm,統計モデル予測(319〜325)を起点に、類似事例が323〜330に集中している点を考慮。装備は充実だが車齢1年・走行3000kmで新車同然事例よりやや減価するため中央付近とした。,318.5960485331512,324.65057373046875
1,65.0,58.0,0.42,llm,車齢16年と類似事例(8〜10年)より大幅に古く保証もないため、類似事例の90〜110万円帯はそのまま適用できず、低めのLightGBM予測を重視した。走行距離が少なく装備も充実している点で若干上乗せした。,53.337280423888586,99.77969360351562
1,238.0,225.0,0.6,llm,統計モデル予測(約219万円)を基準に、同年齢・同装備水準の類似事例4(242万円、走行1.7万km)を考慮し走行3.9万km分を減点。上位類似事例は車齢3年のZグレードで参考度が低いため小幅上方修正に留めた。,218.66851011025355,219.97662353515625
1,163.9,152.0,0.5,llm,統計モデル（156〜162万円）を出発点に、低走行1.3万km・4WDは加点要素だが、車齢10年で類似事例に122万円台以下の例もあるため若干下方修正した。,161.60548225828228,156.71998596191406
1,220.8,202.5,0.66,llm,統計モデル予測200〜205を出発点とし、類似事例が184〜218と幅広いが中心は約205。走行距離がやや多め・装備数が少なめな点を軽く減点した。,200.03064294295427,204.88037109375
2,104.9,110.0,0.55,llm,モデル予測は117〜122だが、類似事例（119.9、99.9、89.9、72前後）の中心はやや低い。装備充実・白真珠・車検残18ヶ月を評価し、両者の中間の110万円とした。,121.80403693658627,116.7094955444336
2,240.2,278.0,0.6,llm,統計モデル予測（271〜274万円）を出発点とし、走行7千kmと低走行である点、Zグレード・ハイブリッドで類似のZ事例が278〜315万円である点を加味してやや上振れさせた。保証なしのため大幅な上乗せは避けた。,271.0259605658674,274.4303283691406
2,106.6,112.0,0.6,llm,統計モデル（114〜119万円）を出発点とし、最も近い事例1（車齢10年・大阪・HV）が101.6万円と低めであることを踏まえてやや下方修正した。装備は充実しているが赤色・10年落ちの点も考慮。,114.27985355092565,118.79689025878906
2,110.2,112.0,0.6,llm,統計モデル104〜115を出発点に、走行距離が少なく装備12点・衝突軽減付きで車検残17ヶ月と好条件のため上寄りに設定。同車齢の類似事例(118.7、133.6)はHVのため若干割り引いた。,104.37127082487189,114.91702270507812
2,248.3,243.0,0.72,llm,統計モデル予測246万を出発点に、類似事例が232〜255万で平均約241万とやや低めのため小幅に下方調整した。,246.04598250120375,246.15878295898438
2,218.1,213.0,0.72,llm,統計モデル予測(205〜212)を出発点に、ハイブリッド・後席モニター等の充実装備と類似事例（200〜244万）の価格帯を考慮して微増させた。,211.61044702970324,205.54513549804688
2,147.8,140.0,0.55,llm,"統計モデルの約128万を出発点に、ハイブリッド・Gクエロ（類似事例4は195万）で上振れ要素がある一方、走行88,000kmが多いため小幅な上乗せに留めた。",128.77544165419837,127.59644317626953
2,179.5,193.0,0.62,llm,統計モデル予測(186〜190万円)を起点に、車齢・走行距離がほぼ同じ事例4(200.2万円)や装備の充実を考慮しやや上方修正した。,189.49722849865924,186.148681640625
2,244.8,268.0,0.6,llm,統計モデル予測(265〜266万円)を基点とし、装備は類似事例と同等に充実するが修復歴ありが大きな減点要因のため、類似事例の290〜320万円帯より低いモデル値を重視した。,266.479499939771,265.15771484375
2,71.8,85.0,0.55,llm,統計モデル(89〜94万円)を出発点とし、修復歴ありのマイナスと4WD・モデリスタエアロのプラスを相殺しつつ、車検整備無の同等事例が69.8万円と低い点を考慮してやや下方に調整した。,93.77435547061712,89.08787536621094
2,285.6,268.0,0.6,llm,統計モデル約275万を出発点に、類似事例（238〜315万、中心250万台）がやや低めであることを考慮し小幅に下方調整。ハイブリッド・保証付・車検整備付は加点要素。,275.63009703839583,274.1861572265625
2,117.6,128.0,0.6,llm,統計モデル予測（約133万）を出発点としつつ、車齢10年・同等装備の類似事例が118〜129万に集まるため、やや下方修正した。白真珠色とLEDなど装備の充実は加点要素とみた。,133.79159329783843,132.35914611816406
2,280.0,301.0,0.75,llm,統計モデル（295〜301万円）を出発点とし、ガソリンZグレードの類似事例（305万円）とほぼ一致するため、その水準を採用しました。ハイブリッド車の319万円は該当しないため除外しています。,300.9701916072438,295.18133544921875
2,331.3,325.0,0.7,llm,LightGBM・XGBoostの予測(321〜326万)を出発点とし、同年式・同グレード・白の類似事例(325.4万、335万)とも整合するため325万とした。,325.87723281089484,321.06463623046875
2,270.2,258.0,0.6,llm,統計モデルの245-246万を出発点に、類似事例（ガソリンZの269.9万など）がやや高めで、モデリスタエアロ装着のプラス要素を加味して上方修正。ただしハイブリッド事例は除外気味に評価。,245.5266418342567,246.2764434814453
2,349.0,342.0,0.6,llm,統計モデル（349〜359万）を出発点とし、最類似事例（大阪・車検32ヶ月・349万）を重視。他の類似事例が319万前後に集まるため、やや下方に調整した。,349.231851526058,358.95556640625
2,162.8,148.5,0.72,llm,統計モデル約150万を出発点に、類似事例も148〜166万が中心で整合。走行6万kmはやや多めのため微減。,150.4966238650892,149.3265838623047
2,171.2,153.0,0.62,llm,統計モデル予測(151〜158万)を出発点とし、装備充実・低走行(4.4万km)・修復歴なしを評価。同年式・同程度の事例1(148万)・事例4(158万)の価格帯とも整合するため中間値とした。,150.91001745259803,158.20896911621094
2,231.0,250.0,0.5,llm,統計モデル（236〜241万）を出発点に、類似事例が上位グレードZで256〜280万と高いことを考慮。査定対象はGグレードだが車齢が1年若く装備充実なため、やや上方修正した。,240.52440970598505,236.50216674804688
2,123.0,135.0,0.6,llm,統計モデル予測（136〜139万）を出発点とし、修復歴ありで装備も少ない点がマイナス要因。類似事例は修復歴なしで価格が高めのため、やや下寄りの135万とした。,136.19474691782116,138.6112823486328
2,274.8,272.0,0.5,llm,統計モデル予測（285前後）を出発点としたが、類似事例が239〜244万円と下方に集まるため、上位グレードZ・低走行を加味して若干下げた水準に調整した。,284.8477924142679,287.4625549316406
