実行日時,実行環境,手法,MAE,MAE_std,RMSE,MAPE,R2,行数,fold数,seed,備考
2026-08-29 14:05,mac,0  中央値,64.571,1.044,76.529,43.74,-0.0161,5507,5,42,予測しない場合の下限
2026-08-29 14:05,mac,A1 線形回帰・従来列,22.763,0.705,34.954,16.29,0.7703,5507,5,42,Ridge + one-hot。スクレイピング当時の回帰分析の再現
2026-08-29 14:05,mac,A2 LightGBM・従来列,17.512,0.386,23.137,10.90,0.9070,5507,5,42,A1と同じ列。モデルを木に替えた効果
2026-08-29 14:05,mac,B  LightGBM・構造化列フル,12.881,0.192,17.222,8.39,0.9485,5507,5,42,+グレード名・色・車検残月数・装備数
2026-08-29 14:05,mac,C1 B+装備テキスト(単語TF-IDF),12.558,0.296,16.928,8.22,0.9502,5507,5,42,"min_df=5, max_features=300。LLMなしでテキストを入れた到達点"
2026-08-29 14:06,mac,C2 B+装備テキスト(文字TF-IDF),12.213,0.417,16.487,7.95,0.9528,5507,5,42,"char_wb 2-4gram, max_features=1000。表記ゆれを部分文字列で吸収"
2026-08-29 14:06,mac,C1' C1のlog(価格)版,12.567,0.320,16.982,8.01,0.9499,5507,5,42,目的変数を対数化。右に裾を引く分布への対応
2026-08-29 14:07,mac,Ab0 A2再掲（従来列のみ）,17.512,0.386,23.137,10.90,0.9070,5507,5,42,比較の起点
2026-08-29 14:07,mac,Ab1 +グレード名,13.604,0.284,18.135,8.86,0.9429,5507,5,42,タイトルから正規表現で抽出した列。非構造テキスト由来
2026-08-29 14:07,mac,Ab2 +装備数,17.213,0.332,22.773,10.67,0.9099,5507,5,42,タイトルの装備羅列の語数。非構造テキスト由来
2026-08-29 14:07,mac,Ab3 +色_基本,16.791,0.260,22.165,10.40,0.9146,5507,5,42,構造化列。101水準あり正規化が甘い
2026-08-29 14:07,mac,Ab4 +車検残月数,17.149,0.267,22.556,10.77,0.9117,5507,5,42,"構造化列。欠損2,926件（車検整備付の車）"
2026-08-29 16:00,mac,D1 B+装備テキスト埋め込み,12.407,0.366,16.612,8.14,0.9520,5507,5,42,C2(TF-IDF 12.21)との比較。同じ入力・表現方法だけ違う
2026-08-29 16:01,mac,D2 従来列+タイトル埋め込み(グレード名なし),13.682,0.418,17.996,8.93,0.9437,5507,5,42,正規表現なしでグレード情報を取れるか。Ab1(+グレード名 13.60)が目標
2026-08-29 16:01,mac,D2b D2のPCA64次元版,13.695,0.277,18.117,8.85,0.9430,5507,5,42,埋め込みを64次元に圧縮。次元数が効いているかの確認
2026-08-29 16:02,mac,D3 構造化列フル+タイトル埋め込み,12.378,0.396,16.595,8.13,0.9521,5507,5,42,グレード名も埋め込みも両方入れた全部乗せ
2026-08-29 20:13,mac,F  TabPFN・構造化列フル(n_est=1),13.061,0.320,17.506,8.33,0.9468,5507,5,42,表形式の基盤モデル。LightGBM の B と同じ列構成。tabpfn 2.2.1 / CPU / n_estimators=1。LLMを使わない側の到達点（PRD の R6・S5） 【版の事情】当時の測定機（Intel Mac）は torch が 2.2.2 上限で tabpfn 8.x（torch>=2.5 が必要）を入れられず 2.2.1 で測った。9/1 の計算ノード移行でこの制約は消えたが、7.1.0 以降は重みの取得に Prior Labs のライセンス承諾が要るため 2.2.1 を継続している。版をまたいだ行を比較しないこと → docs/2026-09-01-embed-env-rebuild.md
2026-08-29 20:30,mac,F  TabPFN・構造化列フル(n_est=8),12.950,0.326,17.323,8.28,0.9479,5507,5,42,表形式の基盤モデル。LightGBM の B と同じ列構成。tabpfn 2.2.1 / CPU / n_estimators=8。LLMを使わない側の到達点（PRD の R6・S5） 【版の事情】当時の測定機（Intel Mac）は torch が 2.2.2 上限で tabpfn 8.x（torch>=2.5 が必要）を入れられず 2.2.1 で測った。9/1 の計算ノード移行でこの制約は消えたが、7.1.0 以降は重みの取得に Prior Labs のライセンス承諾が要るため 2.2.1 を継続している。版をまたいだ行を比較しないこと → docs/2026-09-01-embed-env-rebuild.md
2026-08-29 21:22,mac,kNN5 タイトル埋め込み V0 生（現状）,31.451,0.831,43.721,21.88,0.6683,5507,5,42,意味的近傍k件の価格中央値。機能B の証拠の質を測る
2026-08-29 21:22,mac,kNN5 タイトル埋め込み V1 既出語の除去,30.440,0.693,41.863,21.08,0.6958,5507,5,42,意味的近傍k件の価格中央値。機能B の証拠の質を測る
2026-08-29 21:22,mac,kNN5 タイトル埋め込み V2 定数語の除去,28.922,0.774,39.401,19.92,0.7305,5507,5,42,意味的近傍k件の価格中央値。機能B の証拠の質を測る
2026-08-29 21:22,mac,kNN5 タイトル埋め込み V3 先頭区切りまで,32.047,1.167,44.168,22.53,0.6610,5507,5,42,意味的近傍k件の価格中央値。機能B の証拠の質を測る
2026-08-29 21:22,mac,kNN5 タイトル埋め込み V23 V3+定数語除去,31.863,0.741,43.697,22.18,0.6679,5507,5,42,意味的近傍k件の価格中央値。機能B の証拠の質を測る
2026-08-29 21:22,mac,kNN5 V23 V3+定数語除去 + 数値距離 w=0.05,19.135,0.492,25.430,12.53,0.8877,5507,5,42,コサイン類似度から車齢・走行距離の標準化距離を引く
2026-08-29 21:22,mac,kNN5 V23 V3+定数語除去 + 数値距離 w=0.15,18.463,0.558,24.846,11.87,0.8927,5507,5,42,コサイン類似度から車齢・走行距離の標準化距離を引く
2026-08-29 21:22,mac,kNN5 V23 V3+定数語除去 + 数値距離 w=0.3,18.814,0.581,25.313,11.97,0.8886,5507,5,42,コサイン類似度から車齢・走行距離の標準化距離を引く
2026-08-29 21:22,mac,kNN5 V0 生（現状） + 価格帯±20%で事前絞り込み,18.322,0.513,24.156,11.37,0.8986,5507,5,42,構造化列だけの LightGBM で粗く予測し、その価格帯の事例から意味的に選ぶ
2026-08-29 21:22,mac,kNN5 V23 V3+定数語除去 + 価格帯±20%で事前絞り込み,18.357,0.423,24.061,11.39,0.8995,5507,5,42,構造化列だけの LightGBM で粗く予測し、その価格帯の事例から意味的に選ぶ
2026-08-29 21:23,mac,D2' 従来列+タイトル埋め込み V0 生（現状）,13.682,0.418,17.996,8.93,0.9437,5507,5,42,グレード名の列を使わない。生タイトル版 13.68 が基準
2026-08-29 21:24,mac,D2' 従来列+タイトル埋め込み V1 既出語の除去,13.676,0.338,17.987,8.91,0.9438,5507,5,42,グレード名の列を使わない。生タイトル版 13.68 が基準
2026-08-29 21:25,mac,D2' 従来列+タイトル埋め込み V2 定数語の除去,13.292,0.312,17.553,8.72,0.9465,5507,5,42,グレード名の列を使わない。生タイトル版 13.68 が基準
2026-08-29 21:25,mac,D2' 従来列+タイトル埋め込み V3 先頭区切りまで,13.793,0.334,18.373,8.96,0.9414,5507,5,42,グレード名の列を使わない。生タイトル版 13.68 が基準
2026-08-29 21:26,mac,D2' 従来列+タイトル埋め込み V23 V3+定数語除去,13.577,0.302,18.104,8.87,0.9431,5507,5,42,グレード名の列を使わない。生タイトル版 13.68 が基準
2026-08-29 21:27,mac,kNN5 数値距離のみ（埋め込みなし）,24.448,0.874,31.996,14.71,0.8220,5507,5,42,近傍検索の改善が埋め込み由来か数値列由来かの切り分け
2026-08-29 21:27,mac,kNN5 V0 生（現状） + 数値距離 w=0.15,19.194,0.405,25.935,12.11,0.8831,5507,5,42,近傍検索の改善が埋め込み由来か数値列由来かの切り分け
2026-08-29 21:27,mac,kNN5 V2 定数語の除去 + 数値距離 w=0.15,18.188,0.644,24.246,11.71,0.8978,5507,5,42,近傍検索の改善が埋め込み由来か数値列由来かの切り分け
2026-08-29 21:27,mac,kNN5 V23 V3+定数語除去 + 数値距離 w=0.15,18.463,0.558,24.846,11.87,0.8927,5507,5,42,近傍検索の改善が埋め込み由来か数値列由来かの切り分け
2026-08-29 21:41,mac,A2' 従来列のみ（テキストを使わない）,17.512,0.386,23.137,10.90,0.9070,5507,5,42,比較の下限。既測 17.51
2026-08-29 21:41,mac,Ab1' ＋正規表現のグレード名（人手のルール）,13.604,0.284,18.135,8.86,0.9429,5507,5,42,比較の上限。既測 13.60
2026-08-29 21:42,mac,F(b) ＋機能A・ラベル0件（値の名前だけ）,14.414,0.316,19.068,9.35,0.9369,5507,5,42,unfold Feature。教師ラベルを一切使わない
2026-08-29 21:42,mac,F(a) ＋機能A・人手ラベル200件,16.716,0.359,22.042,10.44,0.9156,5507,5,42,仕様書が前提にしている件数
2026-08-29 21:43,mac,F(a') ＋機能A・人手ラベル全件,16.157,0.415,21.354,10.24,0.9208,5507,5,42,上限の参考
2026-08-29 21:44,mac,F(c) ＋機能A・埋め込み列（ラベルなし）,13.972,0.355,18.419,8.97,0.9411,5507,5,42,type='embedding'。分類を経由しない
2026-08-29 21:48,mac,A2' 従来列のみ（テキストを使わない）,17.512,0.386,23.137,10.90,0.9070,5507,5,42,比較の下限。既測 17.51
2026-08-29 21:48,mac,Ab1' ＋正規表現のグレード名（人手のルール）,13.604,0.284,18.135,8.86,0.9429,5507,5,42,比較の上限。既測 13.60
2026-08-29 21:49,mac,F(b) ＋機能A・ラベル0件（値の名前だけ）,14.414,0.316,19.068,9.35,0.9369,5507,5,42,unfold Feature。教師ラベルを一切使わない
2026-08-29 21:50,mac,F(a) ＋機能A・人手ラベル200件,16.716,0.359,22.042,10.44,0.9156,5507,5,42,仕様書が前提にしている件数
2026-08-29 21:50,mac,F(a') ＋機能A・人手ラベル全件,16.157,0.415,21.354,10.24,0.9208,5507,5,42,上限の参考
2026-08-29 21:51,mac,F(c) ＋機能A・埋め込み列（ラベルなし）,13.972,0.355,18.419,8.97,0.9411,5507,5,42,type='embedding'。分類を経由しない
2026-08-30 00:43,mac,G  TabPFN・構造化列フル+タイトル埋め込み32次元,12.433,0.296,16.628,7.99,0.9520,5507,5,42,tabpfn 2.2.1 / CPU / n_estimators=1 / 埋め込みは定数語除去版を PCA32。LightGBM の D3(12.38) と同じ問いを TabPFN で 【版の事情】当時の測定機（Intel Mac）は torch が 2.2.2 上限で tabpfn 8.x（torch>=2.5 が必要）を入れられず 2.2.1 で測った。9/1 の計算ノード移行でこの制約は消えたが、7.1.0 以降は重みの取得に Prior Labs のライセンス承諾が要るため 2.2.1 を継続している。版をまたいだ行を比較しないこと → docs/2026-09-01-embed-env-rebuild.md
2026-08-30 01:01,mac,G  TabPFN・構造化列フル+タイトル埋め込み64次元,12.336,0.334,16.461,7.87,0.9530,5507,5,42,tabpfn 2.2.1 / CPU / n_estimators=1 / 埋め込みは定数語除去版を PCA64。LightGBM の D3(12.38) と同じ問いを TabPFN で 【版の事情】当時の測定機（Intel Mac）は torch が 2.2.2 上限で tabpfn 8.x（torch>=2.5 が必要）を入れられず 2.2.1 で測った。9/1 の計算ノード移行でこの制約は消えたが、7.1.0 以降は重みの取得に Prior Labs のライセンス承諾が要るため 2.2.1 を継続している。版をまたいだ行を比較しないこと → docs/2026-09-01-embed-env-rebuild.md
2026-08-30 02:41,mac,G  TabPFN・構造化列フル+タイトル埋め込み384次元,12.882,0.419,16.996,8.24,0.9498,5507,5,42,tabpfn 2.2.1 / CPU / n_estimators=1 / 埋め込みは定数語除去版を PCA384。LightGBM の D3(12.38) と同じ問いを TabPFN で 【版の事情】当時の測定機（Intel Mac）は torch が 2.2.2 上限で tabpfn 8.x（torch>=2.5 が必要）を入れられず 2.2.1 で測った。9/1 の計算ノード移行でこの制約は消えたが、7.1.0 以降は重みの取得に Prior Labs のライセンス承諾が要るため 2.2.1 を継続している。版をまたいだ行を比較しないこと → docs/2026-09-01-embed-env-rebuild.md
2026-08-31 13:29,mac,D3' LightGBM・構造化列フル+タイトル埋め込み32次元,12.514,0.250,16.741,8.21,0.9513,5507,5,42,TabPFN の G と同じ入力（定数語除去版の埋め込みを PCA 圧縮）
2026-08-31 13:29,mac,D3' LightGBM・構造化列フル+タイトル埋め込み64次元,12.405,0.268,16.608,8.10,0.9521,5507,5,42,TabPFN の G と同じ入力（定数語除去版の埋め込みを PCA 圧縮）
2026-08-31 13:29,mac,D3' LightGBM・構造化列フル+タイトル埋め込み384次元,12.474,0.299,16.638,8.17,0.9519,5507,5,42,TabPFN の G と同じ入力（定数語除去版の埋め込みを PCA 圧縮）
2026-09-01 09:13,node,0  中央値,64.571,1.044,76.529,43.74,-0.0161,5507,5,42,予測しない場合の下限
2026-09-01 09:13,node,A1 線形回帰・従来列,22.763,0.705,34.954,16.29,0.7703,5507,5,42,Ridge + one-hot。スクレイピング当時の回帰分析の再現
2026-09-01 09:13,node,A2 LightGBM・従来列,17.512,0.386,23.137,10.90,0.9070,5507,5,42,A1と同じ列。モデルを木に替えた効果
2026-09-01 09:13,node,B  LightGBM・構造化列フル,12.881,0.192,17.222,8.39,0.9485,5507,5,42,+グレード名・色・車検残月数・装備数
2026-09-01 09:14,node,C1 B+装備テキスト(単語TF-IDF),12.524,0.309,16.857,8.19,0.9506,5507,5,42,"min_df=5, max_features=300。LLMなしでテキストを入れた到達点"
2026-09-01 09:14,node,C2 B+装備テキスト(文字TF-IDF),12.237,0.364,16.502,8.00,0.9527,5507,5,42,"char_wb 2-4gram, max_features=1000。表記ゆれを部分文字列で吸収"
2026-09-01 09:14,node,C1' C1のlog(価格)版,12.537,0.339,16.978,7.99,0.9499,5507,5,42,目的変数を対数化。右に裾を引く分布への対応
2026-09-01 09:14,node,D1 B+装備テキスト埋め込み,12.407,0.366,16.612,8.14,0.9520,5507,5,42,C2(TF-IDF 12.21)との比較。同じ入力・表現方法だけ違う
2026-09-01 09:15,node,D2 従来列+タイトル埋め込み(グレード名なし),13.682,0.418,17.996,8.93,0.9437,5507,5,42,正規表現なしでグレード情報を取れるか。Ab1(+グレード名 13.60)が目標
2026-09-01 09:15,node,D2b D2のPCA64次元版,13.710,0.293,18.155,8.84,0.9428,5507,5,42,埋め込みを64次元に圧縮。次元数が効いているかの確認
2026-09-01 09:15,node,D3 構造化列フル+タイトル埋め込み,12.378,0.396,16.595,8.13,0.9521,5507,5,42,グレード名も埋め込みも両方入れた全部乗せ
2026-09-01 09:15,node,F  TabPFN・構造化列フル(n_est=1),13.060,0.321,17.505,8.33,0.9468,5507,5,42,表形式の基盤モデル。LightGBM の B と同じ列構成。tabpfn 2.2.1 / CPU / n_estimators=1。LLMを使わない側の到達点（PRD の R6・S5）
2026-09-01 09:18,node,F  TabPFN・構造化列フル(n_est=8),12.950,0.326,17.322,8.28,0.9479,5507,5,42,表形式の基盤モデル。LightGBM の B と同じ列構成。tabpfn 2.2.1 / CPU / n_estimators=8。LLMを使わない側の到達点（PRD の R6・S5）
