fold,実際,機能B,confidence,由来,理由,LightGBM,XGBoost,近傍5件の中央値,参考: LightGBM+文字TF-IDF
1,35900.0,39500.0,0.55,llm,"統計モデルは4.7万台だが、最も近い同型事例(38,900)や他の類似事例が2.4〜4.0万に集中しているため、モデル予測を下方修正し類似事例上限寄りの値とした。",47673.687019855424,46766.28515625,35780.0,37054.12478139248
1,19995.0,24300.0,0.62,llm,"モデル予測23,000を出発点に、類似事例が22,600〜27,300（中央値約26,000）とやや高めのため上方修正。状態がgood止まりである点を割り引いた。",23009.551162146654,22997.337890625,25980.0,21317.050019101152
1,3000.0,3200.0,0.45,llm,"統計モデルは約4,000ドルだが、類似事例は1,000〜6,500ドルとばらつき中央値は1,900ドル程度。クリーンタイトル・4WD・MTのCA物件という強みを考慮し、やや下方修正した3,200ドルとした。",4068.1910732984757,3974.975830078125,1900.0,3732.872515590937
1,27000.0,15000.0,0.5,llm,統計モデル予測(16.2k〜17.1k)を出発点にしつつ、走行距離18.1万マイルと状態goodが類似事例の高価格帯(低走行・excellent)より劣るため、やや下方に調整した。,16214.656429274732,17088.671875,13900.0,14746.078857553834
1,27500.0,25500.0,0.5,llm,"統計モデルは1.5万台だが、同年式・低走行のProMaster 2500の類似事例（車齢7年で27,997ドル、25,995ドル）が一貫して高値であり、商用バンの相場を反映していると判断してモデル予測を上方修正した。",17443.348565410673,15807.4150390625,33990.0,28304.928423905578
1,17995.0,16500.0,0.72,llm,"統計モデル（15,600〜16,995）を出発点とし、類似のOdyssey事例が14,500〜19,000に分布することを踏まえ中央付近を採用。走行距離14万マイルとやや多い点を軽く減点した。",16328.513646570258,15602.3515625,16995.0,15394.541215131292
1,9995.0,12300.0,0.6,llm,"統計モデル（約11,000）を出発点に、類似のRX450h事例が13,000〜15,000で成約している点を加味して上方修正。ただし走行距離17.6万マイルは類似事例より多くFWDのため、事例平均より低めに設定した。",11078.2923178597,10976.099609375,14900.0,11623.316200612311
1,7985.0,7400.0,0.66,llm,"LightGBM/XGBoostの約8,000を出発点に、類似事例が6,300〜8,000（中央値約7,000）に分布するため、やや下方に調整。走行距離が比較的少なく状態excellentな点は加点材料。",8030.272485728069,7925.70556640625,6995.0,7265.1106453204775
1,8100.0,8300.0,0.55,llm,統計モデル（LightGBM約8.6千・XGBoost約9.6千）を出発点とし、rebuilt名義による減価を考慮した。類似事例はclean名義が1万〜1.3万、salvageが7.1千であり、rebuiltはその中間よりやや下と判断した。,8602.906454758642,9640.99609375,10994.0,9157.554294227708
1,13995.0,10800.0,0.6,llm,LightGBM/XGBoostの約1.03万ドルを起点に、類似事例（1.1万〜1.3万の実例が複数）とclean名義・excellent・低めの走行距離を考慮してやや上振れさせた。事例のばらつきが大きいため確信度は中程度。,10316.966777829604,10294.583984375,11000.0,11521.871124009062
1,5500.0,6800.0,0.62,llm,"LightGBMとXGBoostの中間かつ近傍中央値6,950に近い水準を採用。状態がgood（類似の高価格事例はexcellent）である点を割り引いた。",5994.872934124315,7088.18359375,6950.0,5503.08065191062
1,7692.0,6900.0,0.55,llm,"統計モデル予測(6,400〜6,600)を出発点に、類似事例のrwd車が3,900〜6,000と低めな一方、状態excellentである点を小幅にプラス評価した。4wd事例(8,000〜11,500)は駆動が異なるため重みを下げた。",6631.25627526321,6395.53271484375,7800.0,6298.828978968798
1,6995.0,5400.0,0.55,llm,"統計モデル（5.2〜5.4千）を出発点に、走行距離が多い同年代事例が4千前後、低走行のexcellent事例が9千台という幅を考慮。excellent状態を小幅プラスに見て5,400ドルとした。",5165.479232185807,5411.7939453125,6800.0,5326.956011270216
1,8995.0,8950.0,0.72,llm,"LightGBM予測(9,223)と近傍中央値(8,995)、類似事例の8,900〜9,500帯が一致するため、その水準を採用。XGBoostの低め予測は他証拠と乖離するため軽く見た。",9222.828474993947,6663.0263671875,8995.0,8890.704672811422
1,6995.0,6800.0,0.42,llm,"統計モデル（7,600〜8,100）を出発点にしつつ、類似事例が2,400〜10,950と大きくばらつくため中庸に。走行距離が類似事例より多い点を減点した。",8063.660889397384,7601.3203125,7995.0,6035.84069406398
1,10995.0,9500.0,0.6,llm,"統計モデル予測（約9,000）を出発点に、類似事例が7,200〜12,229と幅広く中央値10,500であることを加味し、やや上方に調整した。",8975.769258953946,9144.1435546875,10500.0,10379.342910646224
1,4000.0,4000.0,0.6,llm,"統計モデル2つが約3,700〜3,900で一致し、これを出発点とした。類似事例は3,000〜7,000だが高価格帯はexcellent状態や4WDで、本車は20万マイル・FWD・good状態のため下寄りの4,000とした。",3730.2981325917667,3902.609375,4999.0,4282.090668053316
1,19999.0,20500.0,0.55,llm,"統計モデル予測（約23,000）を出発点としつつ、類似事例より走行距離が20万マイル超と大幅に多く、かつ廉価グレードのwork truckであるため下方調整した。",23001.053493237756,23281.283203125,25990.0,20693.747882447427
1,2250.0,4300.0,0.6,llm,"統計モデル（約4,500〜4,600）を出発点に、最類似の事例1（4,500）と一致する一方、状態がgood（excellentより劣る）である点を軽く減額した。",4601.742520259421,4533.25830078125,4495.0,4072.705921097372
1,7990.0,7600.0,0.66,llm,"類似事例が6,500〜9,900に分布し中央値7,000、XGBoost 7,717と整合するため、その付近を採用。LightGBMの9,700はやや高めと判断し軽く加味した。",9698.586100176644,7717.361328125,7000.0,7446.987899680548
1,2500.0,3200.0,0.45,llm,"統計モデル（3.5k〜4.2k）を出発点に、類似事例が1.2k〜5.2kと幅広く中央値3k程度であることを踏まえ、状態good・マニュアルの点を軽く加味して3,200ドルとした。",3525.071335074546,4206.74609375,2999.0,3274.538604593991
1,10995.0,8600.0,0.63,llm,"統計モデル(約9.3〜9.8千)を出発点に、類似事例が5,000〜8,975と下寄りであることを考慮して下方調整。LT2は上級グレードなので類似事例上位帯付近に置いた。",9760.29350156614,9281.630859375,7500.0,8913.107141811981
1,48750.0,52500.0,0.6,llm,統計モデル(54-55k)を出発点にしつつ、ディーゼルの類似事例が47-50k台に集まるため若干下方修正した。,54397.40313402218,55578.69140625,49998.0,52112.19911767303
1,49995.0,55000.0,0.45,llm,統計モデル（38-44千）と類似事例（55-80千）が大きく食い違うため中間を採用。類似事例はいずれも4WD/ディーゼルで高価格帯なのに対し、本件はrwd・ガソリンで割安要因があり、低めに寄せた。,44207.214499553935,38391.35546875,69998.0,42476.7136296664
1,41590.0,33500.0,0.6,llm,統計モデル予測(32.0k〜33.2k)を出発点に、T8はT6より上級グレード(PHEV)で類似事例1(T6 R-Design 33.6k)以上が妥当と判断し、走行距離やや多い点を割り引いて33.5k程度とした。,32037.99317404293,33238.0859375,30590.0,34437.968673334646
1,2999.0,3800.0,0.72,llm,"類似事例5件が2,595〜4,000ドルに集中しており、近傍中央値3,500を重視。統計モデルの5,000ドル台はやや高めと判断し、やや上振れさせた3,800ドルとした。",5095.08397982063,5411.05224609375,3500.0,2758.6470497502
1,4500.0,3200.0,0.42,llm,"統計モデル（4,200〜5,100）と近傍中央値2,500が食い違うため中間を採用。類似事例は1,000〜4,740と幅広く、clean名義・マニュアル・走行距離やや少なめを踏まえ3,200程度と判断。",5082.576755547737,4193.85400390625,2500.0,6780.240364661074
1,17954.0,15800.0,0.6,llm,"類似事例5件が11,299〜20,900（中央値約14,990）に集中しており、GBM系の29,000台は過大と判断。4WDのプラス分を少し加味して約15,800とした。",29422.358704449165,29033.857421875,14990.0,19290.6066640371
1,11999.0,11200.0,0.6,llm,"統計モデル予測（約9,400〜11,000）を出発点に、類似事例が10,500〜12,000中心であること、査定対象は類似事例より車齢が若く状態excellentである点を加味して上振れさせた。",10155.86246309159,9381.7109375,10995.0,12624.741597683036
1,6000.0,6200.0,0.6,llm,"統計モデル(5,000〜5,600)を出発点に、類似事例が約5,950〜8,700で高めに分布していることを考慮し、やや上方修正。走行距離が類似事例より多い点は減点要素とした。",5586.664722383325,5011.56298828125,6800.0,6227.915034006366
1,6000.0,6300.0,0.6,llm,統計モデル(7.2k〜7.8k)と類似事例(4.0k〜8.0k、中央値5.2k)の中間を採用。状態excellentかつ走行9.1万マイルで平均より良好なため中央値より上に置いた。,7786.548251472146,7194.99267578125,5200.0,6106.833546622335
