fold,実際,機能B,confidence,由来,理由,LightGBM,XGBoost
1,35900.0,41000.0,0.55,llm,統計モデルは47k前後だが、類似事例（特に最も近い同型車38.9k）は概ね36〜40k帯であり、やや下方修正した値を採用した。,47673.687019855424,46766.28515625
1,19995.0,23800.0,0.68,llm,"統計モデル2つが約23,000で一致しており出発点とした。類似事例は22.6k〜27.3kとやや高めだが、査定対象の状態がgood(excellent未満)のため中央よりやや上に微調整した。",23009.551162146654,22997.337890625
1,3000.0,3400.0,0.5,llm,"統計モデルの約4,000ドルを起点としつつ、類似事例の多くが1,000〜3,500ドルと低めであるため、やや下方修正した。マニュアル・4WD・clean名義はプラス要因だが高走行距離が重い。",4068.1910732984757,3974.975830078125
1,27000.0,15200.0,0.5,llm,統計モデル(16.2k〜17.1k)を出発点に、走行距離18.1万マイルとgood状態で類似のディーゼル4WD事例(13.9k〜24k)がばらつくため、やや下方修正した。,16214.656429274732,17088.671875
1,27500.0,23000.0,0.45,llm,統計モデルは15-17千だが、同年式・低走行のプロマスター2500の類似事例は26-28千と大幅に高い。商用バンで走行1.8万マイル・excellentという点を評価し、モデル予測を上方修正して中間値付近とした。,17443.348565410673,15807.4150390625
1,17995.0,16400.0,0.72,llm,"統計モデル(15.6k〜16.3k)を出発点に、類似オデッセイの成約が14.5k〜19kで中央値約17kであることを踏まえ、走行14万マイルとやや多い点を割り引いて16,400ドルとした。",16328.513646570258,15602.3515625
1,9995.0,12300.0,0.62,llm,"統計モデルの約11,000を出発点に、類似のRX450h成約が13,000〜15,000と高めである点を加味して上振れさせた。ただし走行距離17.6万マイルと多く、fwd表記のため類似事例の水準までは上げなかった。",11078.2923178597,10976.099609375
1,7985.0,7500.0,0.66,llm,"統計モデルの約7,900〜8,000を出発点に、類似事例が6,300〜8,000で中位は7,000前後のため、やや下方修正した。走行距離は比較的少なく状態も良好なので中間帯とした。",8030.272485728069,7925.70556640625
1,8100.0,8800.0,0.6,llm,統計モデル予測(8.6k〜9.6k)を出発点とし、rebuilt名義による減価を考慮。clean名義の類似事例(11k〜13k)より低く、salvage事例7.1kよりやや高い水準とした。,8602.906454758642,9640.99609375
1,13995.0,10600.0,0.66,llm,"統計モデル2つが約1.03万で一致しており出発点とした。類似事例は1,200〜17,000とばらつくが、clean名義・excellent・低走行の点を考慮し中央付近のやや上に調整した。",10316.966777829604,10294.583984375
1,5500.0,6700.0,0.62,llm,"統計モデル2つの中間(約6,500)を出発点とし、類似事例が5,800〜8,995と幅広い中で状態good・走行7.7万マイルは中位に位置するため、やや上振れさせた。",5994.872934124315,7088.18359375
1,7692.0,6800.0,0.55,llm,"統計モデル予測（約6,400〜6,600）を出発点とし、rwd事例が4,000〜6,000、4wd事例が7,800〜11,500と幅がある中、excellent状態を小幅プラス評価した。",6631.25627526321,6395.53271484375
1,6995.0,5400.0,0.55,llm,統計モデル約5.2〜5.4千を起点に、走行距離が多い同年式のOH州事例（約4千）と、状態excellentで低走行の事例（9千前後）の中間として評価。excellent状態を加味し予測上限寄りとした。,5165.479232185807,5411.7939453125
1,8995.0,8900.0,0.72,llm,"LightGBM予測(9,223)と類似事例の中心帯(8,900〜9,500)が概ね一致し、XGBoostの低め予測は外れ値とみなした。走行距離がやや多い点を考慮し8,900とした。",9222.828474993947,6663.0263671875
1,6995.0,6900.0,0.4,llm,"統計モデル（約7,600〜8,100ドル）を出発点としつつ、類似事例が2,400〜10,950ドルと幅広く、走行距離が14万マイルとやや多い点を考慮して若干下方修正した。",8063.660889397384,7601.3203125
1,10995.0,9500.0,0.6,llm,"統計モデル約9,000ドルを出発点に、類似事例が7,200〜12,229ドルと幅広く中位が約10,500ドルであることを踏まえ、やや上方修正した。",8975.769258953946,9144.1435546875
1,4000.0,3900.0,0.62,llm,"統計モデル2つ（3,730/3,903）を出発点とし、走行20万マイル・fwdで類似事例中の高価格帯（excellentや4wd）より不利なため、下位〜中位に寄せた。",3730.2981325917667,3902.609375
1,19999.0,21000.0,0.55,llm,"統計モデル予測（約23,000ドル）を出発点としつつ、類似事例より走行距離が20万マイル超と大幅に多く、グレードもワークトラックのため下方修正した。",23001.053493237756,23281.283203125
1,2250.0,4300.0,0.63,llm,"統計モデル2つが約4,550で一致し、最類似事例（V6・同年式）が4,500と整合。状態がgood（excellentより下）なため若干控えめに調整した。",4601.742520259421,4533.25830078125
1,7990.0,7600.0,0.66,llm,"類似事例が6,500〜9,900に分布し中心は7,000前後で、XGBoostの7,717に近い。LightGBMのやや高め予測も考慮して7,600とした。",9698.586100176644,7717.361328125
1,2500.0,3200.0,0.45,llm,"統計モデルの3,500〜4,200を出発点に、類似事例が1,200〜5,200と幅広く低価格帯も多いため、やや下方修正。状態goodとマニュアル車である点は大きなプラスにはならないと判断。",3525.071335074546,4206.74609375
1,10995.0,8600.0,0.63,llm,"統計モデル予測（約9,300〜9,800）を出発点としつつ、類似事例が5,000〜8,975と全体的に低めのため下方修正。LT2上級グレードである点は加点材料とした。",9760.29350156614,9281.630859375
1,48750.0,53000.0,0.6,llm,統計モデル予測（約54-56千ドル）を出発点にしつつ、ディーゼルの類似事例が47-50千ドル台に集まるため、やや下方に調整した。,54397.40313402218,55578.69140625
1,49995.0,52000.0,0.4,llm,統計モデルは38-44千ドルだが、類似事例の3500HDは軒並み55-80千ドルと高く、走行距離も極めて少ないため上方修正。ただしrwd・ガソリン・good状態は類似事例(4wd/ディーゼル/like new)より下位のため、中間の5.2万ドルとした。,44207.214499553935,38391.35546875
1,41590.0,34000.0,0.6,llm,"統計モデル32.0k〜33.2kを起点に、T8はT6 R-Design（33.6k）より上位グレードのプラグインハイブリッドで加点、走行距離やや多めで相殺し34,000USDとした。",32037.99317404293,33238.0859375
1,2999.0,3900.0,0.68,llm,"統計モデルは5,000ドル台を示すが、類似度の非常に高いコバルト5件がいずれも2,600〜4,000ドルに集中しているため、類似事例側を重く見て下方修正した。",5095.08397982063,5411.05224609375
1,4500.0,3300.0,0.42,llm,"統計モデル(4,200〜5,100)を出発点にしつつ、類似のTiburon実売価格が1,000〜4,700と低めに分布するため下方修正した。",5082.576755547737,4193.85400390625
1,17954.0,17500.0,0.42,llm,"統計モデルは29,000台と高いが、類似事例5件は11,299〜20,900（中央値約15,000）に集中しており、モデルが大きく過大評価している可能性が高い。類似事例帯をやや上回る水準（4WD分を加味）で17,500とした。",29422.358704449165,29033.857421875
1,11999.0,11000.0,0.62,llm,統計モデル予測（9.4k〜10.2k）を出発点に、査定対象は類似事例より車齢が若く（6年）状態excellentのため、類似事例の10.5k〜12k帯へ寄せて上方調整した。,10155.86246309159,9381.7109375
1,6000.0,6200.0,0.6,llm,"統計モデル予測（約5,000〜5,600ドル）を出発点に、類似事例が5,950〜8,695ドルとやや高めのため上方修正した。走行距離が20万マイル超と多い点を考慮し、6,200ドルとした。",5586.664722383325,5011.56298828125
1,6000.0,6300.0,0.6,llm,"統計モデル（7,200〜7,800）を出発点にしつつ、類似事例が4,000〜8,000で中央値5,900程度と低めのため、やや下方修正した。excellent・走行少なめの点は加点材料。",7786.548251472146,7194.99267578125
1,5500.0,7100.0,0.6,llm,"統計モデルは約5,700〜6,200だが、類似事例5件はいずれも6,500〜8,950と高め。ハワイは中古車価格が高い傾向もあり、両者の中間やや上の水準とした。",6196.829708490545,5745.14453125
1,2000.0,11300.0,0.66,llm,"LightGBM(10.9k)とXGBoost(9.4k)の中間よりやや上を採用し、類似事例が11k〜12k中心（1件15,995は外れ値）であることを重視した。",10918.468123186909,9362.154296875
1,3999.0,3200.0,0.66,llm,"統計モデル2種（約3,000〜3,900）の中間を出発点とし、類似事例が2,300〜3,800に集中していることを重視した。状態不明・変速機otherはやや減点要因。",3917.5591000351437,2999.3408203125
1,8999.0,8900.0,0.55,llm,"統計モデルは約1万ドルだが、類似事例の多く（特に状態excellentの同等走行距離車）は6,000〜9,700ドルに集中しており、やや下方修正した。",10070.480373214707,10275.787109375
1,14981.0,11800.0,0.62,llm,"統計モデル予測（約11,100〜11,700）を出発点とし、ディーゼルTDIは類似事例3（13,980）のようにガソリン車より高値がつく傾向を考慮して若干上振れさせた。",11129.012660126042,11746.119140625
1,5996.0,6100.0,0.62,llm,"統計モデルの5,500〜5,650を出発点にしつつ、類似事例（6,000〜9,000、多くはexcellent）がやや高めのため小幅に上方修正した。対象はgood状態・走行距離やや多めなので事例中央値より低めに設定。",5504.772835144678,5643.3310546875
1,7000.0,10500.0,0.42,llm,"統計モデル予測(約8,100〜8,400)を出発点としつつ、類似事例が概ね1万〜2.3万と高めで、特にガソリン4WDの2500HD事例が高値のため上方修正した。ただしディーゼル勢が価格を押し上げているため、控えめに1万ドル台前半とした。",8102.115528897957,8444.2001953125
1,2499.0,4200.0,0.72,llm,"統計モデル2つが約4,200で一致し、類似事例も3,500〜4,950の範囲に収まる。状態excellentは加点要因だが走行距離16万マイルで相殺されるため予測値をほぼ採用した。",4192.889797523335,4237.93310546875
1,9500.0,7200.0,0.5,llm,"統計モデルは約9,800だが、類似事例（同車種・同程度の走行距離）は6,000前後が中心。高走行18.4万マイルを踏まえ、モデル予測を下方修正しつつlike new状態を加味した中間値とした。",9833.1441932443,9844.318359375
1,6998.0,6500.0,0.6,llm,"統計モデルの約6,100を出発点に、like new かつ走行距離が類似事例より少ない点を上乗せし、6,999や9,000の事例も踏まえて6,500とした。",6102.4120545816995,6053.84521484375
1,9500.0,6800.0,0.55,llm,"統計モデル2つ（7,128〜7,831）を出発点とし、走行18万マイル超と状態不明という減点要因を考慮してやや下方に調整した。類似事例はメーカー・年式が離れており重みを低くした。",7830.772599110728,7127.65771484375
1,28750.0,29800.0,0.7,llm,"統計モデル予測（約30,600〜31,300）を出発点に、類似事例が25,000〜31,000（中心29,000前後）に集中するため、やや下方修正した値とした。",30593.09786400448,31311.421875
1,33499.0,29000.0,0.6,llm,"統計モデル予測（31-32k）を出発点に、類似事例が20-36kで中心が28k前後のため、やや下方修正した29,000とした。",32382.125224604202,31111.935546875
1,16199.0,17800.0,0.5,llm,"統計モデルは約15.6-15.7千ドルだが、類似のGLクラスは17.5〜24千ドルで成約しており、やや上方修正した。ただし本件は気筒数・駆動・状態が不明で情報欠落分を割り引き、最も条件の近い事例5（17,495）付近とした。",15703.911117604786,15573.0263671875
1,5999.0,5500.0,0.5,llm,"統計モデル約6,200〜6,300を出発点としつつ、車齢19年・16.8万マイルで状態不明という点や、同年代の類似事例（2,000〜3,850ドル）が低めであることを考慮し、やや下方修正した。",6303.559011946378,6179.00048828125
1,45000.0,38500.0,0.6,llm,統計モデル（約33k〜35k）を出発点に、類似事例が35k〜54kとやや高めで、査定対象は車齢3年・走行25千マイル・状態excellentと条件が良いため、やや上振れさせた。,35063.56781912689,32863.69140625
1,23900.0,22500.0,0.5,llm,統計モデル予測(17.9k〜21.4k)を出発点に、類似QX80事例が23k〜33kと高めであることを考慮して上方修正。ただし状態good・燃料other・高走行距離のため類似事例の下限付近に設定した。,17903.13511147557,21414.642578125
1,16990.0,20500.0,0.6,llm,統計モデル2つが約2.1万ドルで一致しており、類似事例も1.8万〜2.5万ドルに分布。4WD・6気筒で平均よりやや強めだが走行距離が多いため、モデル予測近辺の2.05万ドルとした。,21089.92484633603,21204.478515625
1,20995.0,21800.0,0.5,llm,統計モデル予測（約2.05万）を出発点に、類似事例の多くが2.0〜2.8万と高めであるため、やや上方修正した。事例価格のばらつきが大きく確信度は中程度。,20681.630388099144,20404.685546875
1,14950.0,13500.0,0.45,llm,統計モデルは約1.06万ドルだが、類似事例のGT premiumは1.3万〜2.0万ドルと明確に上方に分布し、走行6.5万マイルは平均以下。モデル予測と事例価格帯の下寄りを折衷した。,10750.295694869037,10562.90234375
1,5000.0,7500.0,0.5,llm,統計モデル（LightGBM/XGBoost）の中間やや下を起点に、salvage名義・fair状態・27万マイル超という減価要因を重視し、類似事例（すべてclean名義）より下の水準に置いた。,10587.193077342945,7938.8173828125
1,18495.0,19800.0,0.6,llm,"統計モデル2つの中間(約22.4k)を出発点としつつ、最も類似する車齢3年・走行7万マイル弱の事例が18,795だったため、走行距離が多い分を考慮して2万ドル弱に調整した。",20808.724557466343,24025.642578125
1,16900.0,15600.0,0.6,llm,統計モデル予測（約16.3〜16.8千）を出発点に、類似事例が12〜15千台中心で走行距離も17万マイルと多いため、やや下方修正した。,16813.562717676785,16344.4658203125
1,15500.0,14500.0,0.42,llm,統計モデルは約1.8〜1.9万ドルを示すが、類似事例の多くは6千〜1.7万ドルと低め。走行距離が少なくV6・4WD・マニュアルという人気構成を評価し、モデル値をやや下方修正した。,19107.185489389696,18391.607421875
1,8000.0,5300.0,0.72,llm,"統計モデル2つ（約5,350〜5,620）を出発点とし、類似CR-V事例が4,500〜7,000で中心5,000前後のため、やや下方に調整した。",5352.666369467762,5617.85888671875
1,13995.0,16200.0,0.55,llm,"統計モデルは約19,000〜19,800だが、類似のKia Soul事例は概ね14,500〜16,000に集中しており、モデル予測はやや高いと判断。両者の中間よりやや類似事例寄りに調整した。",19044.364218236133,19821.81640625
1,8500.0,11200.0,0.6,llm,"統計モデルの約9,800〜10,300を出発点としつつ、類似事例が10,000〜14,500と全体的に高めなため、やや上方修正した。状態excellentで走行距離は平均的。",9825.548550458174,10258.2275390625
1,12995.0,18500.0,0.4,llm,"統計モデルは約1万ドルだが、類似のSilverado 3500HD事例はすべて26,000〜37,000ドルと大きく上振れしている。査定対象はガソリン・RWDで装備が弱く車齢も高いため、両者の中間よりやや低めに設定した。",10561.707767656178,10395.9609375
1,6750.0,5400.0,0.6,llm,"統計モデル2つが約5,050で一致しており、これを出発点とした。類似事例も5,490〜5,995が中心帯で、やや上振れを考慮して5,400とした（16,900は外れ値として重視せず）。",5064.3983611893,5080.0087890625
1,49995.0,51000.0,0.6,llm,"LightGBM(45.6k)を出発点に、Hellcat 6速MTで走行4,697マイルと極低走行である点を上乗せ評価。最類似のHellcat事例(54,500)が支持するため5万前後とした。",45600.22378529077,37124.8828125
1,33500.0,29500.0,0.55,llm,統計モデルの約2.6万を出発点としつつ、走行距離が2.4万マイルと少なくlike newで、同年式・低走行の類似事例が3.2〜3.6万であることを踏まえ上方修正した。,25587.65176389483,26012.021484375
1,10999.0,12400.0,0.66,llm,統計モデル2つが約12.3〜12.6千で一致し、類似事例も12.3〜14.0千が中心（低価格2件は高走行や情報欠落）。モデル予測を軸に据えた。,12644.680681815527,12281.4736328125
1,5995.0,6200.0,0.62,llm,"統計モデル予測（約6,800〜7,300）を出発点にしつつ、類似事例の多くが5,000〜7,000USD帯（低値の1,500は外れ値）であるため、やや下方修正した。",6751.609994031176,7251.2236328125
