fold,回,名前,採用,検証MAE,差,理由,コード
1,1,model_truck_grade_flags,True,3377.3428607547366,+72.28,"車種名の自由記述には駆動方式(4x4/4wd)、ヘビーデューティ(f-250, super duty, 2500/3500, diesel系)、上級グレード(limited, laramie, denali等)が埋め込まれており、これらは価格を大きく押し上げるため。","s = df['車種名'].fillna('').str.lower()
df['mn_4x4'] = s.str.contains(r'4x4|4wd|awd|quattro|4matic', regex=True, na=False).astype(int)
df['mn_heavy_duty'] = s.str.contains(r'super\s*duty|f-?[23]50|[23]500|hd\b|duramax|powerstroke|cummins|dually|srw|drw', regex=True, na=False).astype(int)
df['mn_high_trim'] = s.str.contains(r'limited|laramie|denali|platinum|lariat|ltz|king ranch|premium|sport|touring|amg|type ?[rs]|trd|z71|xlt|se?l\b', regex=True, na=False).astype(int)"
1,2,miles_per_year,True,3355.4445465528142,+21.90,年間走行距離は使用強度を表し、同じ車齢でも走行が少ない個体は高値になるため。走行距離と車齢の単純な組み合わせより価格説明力が高い。,"age = df['車齢'].clip(lower=0).fillna(0)
mi = df['走行距離_mile'].fillna(df['走行距離_mile'].median())
df['miles_per_year'] = mi / (age + 1)
df['log_miles'] = np.log1p(mi)"
1,3,maker_model_target_size,True,3189.96542432481,+165.48,メーカー×車種名の先頭トークンで正規化した車種キーの出現頻度は、人気度や量産グレード帯を表し価格水準の代理になる。文字列の粒度を数値化して木モデルが使いやすくする。,"s = df['車種名'].fillna('').str.lower().str.replace(r'[^a-z0-9 ]', ' ', regex=True).str.strip()
base = s.str.split().str[:2].str.join('_')
key = df['メーカー'].fillna('na').str.lower() + '_' + base
df['mm_key_freq'] = key.map(key.value_counts()).fillna(0).astype(float)
df['model_name_ntokens'] = s.str.split().apply(len)"
1,4,luxury_and_body_premium,True,3165.1379778543383,+24.83,高級ブランドやスポーツ/トラック系ボディは同年式・同走行でも価格帯が大きく異なるため、ブランド階層とボディの粗い区分が価格説明に効くと考えられる。,"mk = df['メーカー'].fillna('').str.lower()
lux = ['mercedes-benz','bmw','audi','lexus','porsche','tesla','land rover','jaguar','infiniti','acura','cadillac','lincoln','volvo','alfa-romeo','aston-martin','ferrari','rover']
df['is_luxury_brand'] = mk.isin(lux).astype(int)
b = df['ボディ'].fillna('').str.lower()
df['is_truck_body'] = b.str.contains('truck|pickup|van|bus', na=False).astype(int)
df['lux_age'] = df['is_luxury_brand'] * df['車齢'].clip(lower=0).fillna(0)"
1,5,cyl_cond_title_ordinal,False,3179.4754932031415,-14.34,気筒数は排気量・車格の代理で価格に強く効き、状態と名義状態（salvage/rebuiltは大幅減価）も順序尺度化すると線形に効く。,"df['cyl_num'] = df['気筒数'].fillna('').str.extract(r'(\d+)', expand=False).astype(float)
cond_map = {'new':5,'like new':4,'excellent':3,'good':2,'fair':1,'salvage':0}
df['cond_ord'] = df['状態'].fillna('').str.lower().str.strip().map(cond_map).astype(float)
title_map = {'clean':3,'lien':2,'rebuilt':1,'salvage':0,'parts only':0,'missing':1}
df['title_ord'] = df['名義状態'].fillna('').str.lower().str.strip().map(title_map).astype(float)"
1,6,listing_completeness_and_fuel_premium,False,3170.032684643387,-4.89,未入力の多い出品は情報が薄く安価な車体である傾向があり、欠損数は価格の代理指標になる。またディーゼル/電気/ハイブリッドは同年式でも価格帯が大きく異なる。,"cols = ['状態','気筒数','燃料','名義状態','駆動','サイズ','ボディ','色']
df['n_missing_fields'] = df[cols].isna().sum(axis=1).astype(float)
f = df['燃料'].fillna('').str.lower()
df['fuel_premium'] = np.select([f.str.contains('diesel', na=False), f.str.contains('electric', na=False), f.str.contains('hybrid', na=False)], [3, 2, 1], default=0).astype(float)"
1,7,model_year_engine_tokens,True,3146.951936523677,+18.19,"車種名に埋め込まれた排気量（例: 328i の数字や 2.0t, v6/v8）はエンジン規模やグレードを表し、価格に直結する。","s = df['車種名'].fillna('').str.lower()
df['mn_displacement'] = s.str.extract(r'(\d\.\d)\s*[lt]?', expand=False).astype(float)
df['mn_vcyl'] = s.str.extract(r'\bv\s?-?(\d{1,2})\b', expand=False).astype(float)
df['mn_trim_num'] = s.str.extract(r'\b(\d{3})\s?[a-z]?\b', expand=False).astype(float)"
1,8,model_group_relative_wear,True,3126.7349815502716,+20.22,同じ車種内で走行距離や車齢が平均よりどれだけ多い/少ないかは、その車種の相場に対する価格の上下を直接説明する。,"s = df['車種名'].fillna('').str.lower().str.replace(r'[^a-z0-9 ]', ' ', regex=True).str.strip()
base = s.str.split().str[:2].str.join('_')
key = df['メーカー'].fillna('na').str.lower() + '_' + base
mi = df['走行距離_mile'].fillna(df['走行距離_mile'].median()).astype(float)
age = df['車齢'].clip(lower=0).fillna(0).astype(float)
g = mi.groupby(key)
df['mi_dev_in_model'] = (mi - g.transform('median')).astype(float)
df['age_dev_in_model'] = (age - age.groupby(key).transform('median')).astype(float)"
1,9,state_market_level,False,3134.127572206761,-7.39,州ごとの市場水準は価格に影響する（税制・需要・トラック比率など）。州単位の走行距離・車齢の平均や出品数で地域差を表現する。,"st = df['州'].fillna('na').str.lower()
df['state_freq'] = st.map(st.value_counts()).fillna(0).astype(float)
age = df['車齢'].clip(lower=0).fillna(0).astype(float)
mi = df['走行距離_mile'].fillna(df['走行距離_mile'].median()).astype(float)
df['state_mean_age'] = age.groupby(st).transform('mean').astype(float)
df['state_mean_miles'] = mi.groupby(st).transform('mean').astype(float)"
1,10,depreciation_curve_terms,True,3098.6717404138485,+28.06,価格の減価は車齢・走行距離に対して非線形（指数的）に減るため、逆数や交互作用項を与えると木モデルでも減価曲線を捉えやすい。,"age = df['車齢'].clip(lower=0).fillna(0).astype(float)
mi = df['走行距離_mile'].fillna(df['走行距離_mile'].median()).astype(float)
df['inv_age'] = 1.0 / (age + 1.0)
df['age_x_logmiles'] = age * np.log1p(mi)
df['decay_score'] = np.exp(-age / 8.0) * np.exp(-mi / 150000.0)"
