日時,用途,モデル,入力トークン,出力トークン,キャッシュ読出トークン,費用_usd,キー
2026-09-01 01:22:41,機能B（価格予測）,claude-opus-5,1610,118,0,0.011,99265c8592cd
2026-09-01 01:22:46,機能B（価格予測）,claude-opus-5,1153,113,1041,0.009111,96955865872a
2026-09-01 01:22:46,機能B（価格予測）,claude-opus-5,1642,108,1041,0.01143,9d4d7d8842d9
2026-09-01 01:23:36,機能B（価格予測）,claude-opus-5,1689,104,1041,0.011565,797f8feeffcd
2026-09-01 01:23:40,機能B（価格予測）,claude-opus-5,1194,87,1041,0.008665,45a459457d3f
2026-09-01 01:23:40,機能B（価格予測）,claude-opus-5,1192,95,1041,0.008856,7ca86e500294
2026-09-01 01:23:40,機能B（価格予測）,claude-opus-5,1486,93,1041,0.010275,83b72b325f71
2026-09-01 01:23:40,機能B（価格予測）,claude-opus-5,1576,84,1041,0.0105,af9ddcb638e4
2026-09-01 01:23:41,機能B（価格予測）,claude-opus-5,1601,122,1041,0.011576,083e961d21dc
2026-09-01 01:23:41,機能B（価格予測）,claude-opus-5,1295,112,1041,0.009796,a0e175356ed5
2026-09-01 01:23:41,機能B（価格予測）,claude-opus-5,1620,116,1041,0.01152,f063896ad590
2026-09-01 01:23:42,機能B（価格予測）,claude-opus-5,1584,120,1041,0.01144,7a447bb4ba46
2026-09-01 01:23:44,機能B（価格予測）,claude-opus-5,1656,104,1041,0.0114,b642e4ea6a7b
2026-09-01 01:23:45,機能B（価格予測）,claude-opus-5,1218,102,1041,0.009161,07eec26930f7
2026-09-01 01:23:45,機能B（価格予測）,claude-opus-5,1629,110,1041,0.011416,5e1fa8af33e8
2026-09-01 01:23:45,機能B（価格予測）,claude-opus-5,1293,99,1041,0.009461,e02549d4e834
2026-09-01 01:23:46,機能B（価格予測）,claude-opus-5,1681,129,1041,0.01215,64f3d1bc16d3
2026-09-01 01:23:46,機能B（価格予測）,claude-opus-5,1615,126,1041,0.011746,85dc97fd5302
2026-09-01 01:23:47,機能B（価格予測）,claude-opus-5,1640,102,1041,0.01127,776fd00ae3bd
2026-09-01 01:23:47,機能B（価格予測）,claude-opus-5,1586,120,1041,0.011451,a242b719c2d6
2026-09-01 01:23:48,機能B（価格予測）,claude-opus-5,1386,131,1041,0.010726,4045280d33ac
2026-09-01 01:23:49,機能B（価格予測）,claude-opus-5,1225,89,1041,0.00887,3d8376d3af8d
2026-09-01 01:23:50,機能B（価格予測）,claude-opus-5,1497,97,1041,0.010431,006e959a12e0
2026-09-01 01:23:50,機能B（価格予測）,claude-opus-5,1513,129,1041,0.01131,53e394148949
2026-09-01 01:23:50,機能B（価格予測）,claude-opus-5,1091,119,1041,0.008951,fdb457f1955c
2026-09-01 01:23:51,機能B（価格予測）,claude-opus-5,1403,101,1041,0.01006,84e245adac7d
2026-09-01 01:23:52,機能B（価格予測）,claude-opus-5,1646,108,1041,0.011451,c28b2d541968
2026-09-01 01:23:53,機能B（価格予測）,claude-opus-5,1285,116,1041,0.009846,3669d8e2894e
2026-09-01 01:23:54,機能B（価格予測）,claude-opus-5,1109,110,1041,0.008816,9b8bb14a1334
2026-09-01 01:23:54,機能B（価格予測）,claude-opus-5,1677,101,1041,0.01143,e61f047763ac
2026-09-01 01:23:55,機能B（価格予測）,claude-opus-5,1536,103,1041,0.010776,1f56f0c53700
2026-09-01 01:23:55,機能B（価格予測）,claude-opus-5,1283,138,1041,0.010386,511b724dd09b
2026-09-01 01:23:55,機能B（価格予測）,claude-opus-5,1717,100,1041,0.011605,cc358dac4879
2026-09-01 01:23:56,機能B（価格予測）,claude-opus-5,1639,121,1041,0.01174,e152e841c97b
2026-09-01 01:23:57,機能B（価格予測）,claude-opus-5,1599,107,1041,0.011191,01639309004a
2026-09-01 01:23:57,機能B（価格予測）,claude-opus-5,1618,105,1041,0.011236,ff6132d2892d
2026-09-01 01:23:58,機能B（価格予測）,claude-opus-5,1093,115,1041,0.008861,92a405c853d1
2026-09-01 01:23:58,機能B（価格予測）,claude-opus-5,1252,85,1041,0.008906,93db80e5a11b
2026-09-01 01:23:59,機能B（価格予測）,claude-opus-5,1214,105,1041,0.009215,efd2fd2c3f0a
2026-09-01 01:24:00,機能B（価格予測）,claude-opus-5,1585,105,1041,0.011071,10525d956b77
2026-09-01 01:24:00,機能B（価格予測）,claude-opus-5,1658,94,1041,0.011161,316e1c208cdf
2026-09-01 01:24:00,機能B（価格予測）,claude-opus-5,1234,98,1041,0.00914,7fa8cfe00034
