age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
36,management,married,tertiary,no,2547,no,no,cellular,31,jul,292,1,-1,0,unknown,no
38,self-employed,married,tertiary,no,526,no,no,cellular,27,aug,86,11,-1,0,unknown,no
36,self-employed,single,tertiary,no,258,no,no,cellular,5,feb,230,1,-1,0,unknown,no
41,management,married,tertiary,no,11103,yes,no,telephone,7,may,55,1,-1,0,unknown,no
36,technician,married,tertiary,no,99,yes,yes,cellular,10,feb,86,1,85,1,failure,no
30,admin.,single,secondary,no,-1,yes,no,unknown,28,may,141,1,-1,0,unknown,no
46,housemaid,married,primary,no,1175,no,no,cellular,7,aug,181,2,-1,0,unknown,no
36,blue-collar,married,primary,no,23,yes,no,unknown,6,may,400,2,-1,0,unknown,no
56,management,married,tertiary,no,363,no,no,cellular,2,feb,49,1,-1,0,unknown,no
24,technician,single,secondary,no,-256,yes,no,unknown,26,may,110,2,-1,0,unknown,no
29,technician,single,secondary,no,3527,no,yes,cellular,10,jul,171,5,-1,0,unknown,no
52,technician,married,secondary,no,2944,no,no,cellular,22,aug,22,18,-1,0,unknown,no
35,blue-collar,divorced,secondary,no,52,yes,no,unknown,30,may,574,1,-1,0,unknown,no
40,technician,married,tertiary,no,1207,no,no,cellular,22,aug,105,3,-1,0,unknown,no
33,unknown,single,secondary,no,9,no,no,cellular,19,oct,238,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,1119,yes,no,cellular,14,aug,265,2,-1,0,unknown,no
28,services,single,secondary,no,1347,no,no,telephone,11,oct,317,2,108,14,other,no
41,services,married,primary,no,4903,yes,no,cellular,19,nov,223,2,-1,0,unknown,no
27,blue-collar,single,secondary,yes,81,no,yes,cellular,29,jan,123,2,205,2,success,no
59,admin.,married,secondary,no,4196,no,no,telephone,31,jul,10,2,-1,0,unknown,no
32,technician,married,tertiary,no,0,yes,no,cellular,19,nov,231,4,-1,0,unknown,no
29,student,single,unknown,no,145,no,no,cellular,14,aug,105,1,-1,0,unknown,no
