fold,実際,機能B,confidence,由来,理由,LightGBM,XGBoost,近傍5件の中央値,参考: LightGBM+文字TF-IDF
1,35900.0,37500.0,0.55,llm,"統計モデルは47千前後だが、最も近い同一グレード事例(38,900)や類似8気筒4WD事例(35,780)が35〜39千に集中しており、Expressは廉価グレードのためモデル予測はやや高すぎると判断した。",47673.687019855424,46766.28515625,35780.0,37054.12478139248
1,19995.0,21500.0,0.6,llm,"統計モデル約23,000を起点にしつつ、説明文に明示された掲載価格19,995を重視。類似事例は22.5k〜27kと高めだが、実際の出品価格が読めるため中間よりやや低めに設定した。",23009.551162146654,22997.337890625,25980.0,21317.050019101152
1,3000.0,3100.0,0.62,llm,"統計モデルは約4,000だが、説明文に「$3,100 or best offer」と明記されており、実売価格はこの提示額付近と考えられる。新品クラッチ・触媒・ヘッドガスケット等の整備歴はプラス、電装不良は小さなマイナスで相殺。",4068.1910732984757,3974.975830078125,1900.0,3732.872515590937
1,27000.0,16000.0,0.5,llm,統計モデル予測（約16-17千）を出発点に、6.4L削除・リフト等の改造とハイマイレージが相殺と判断し、類似事例の幅（5千〜24千）の中央付近に設定した。,16214.656429274732,17088.671875,13900.0,14746.078857553834
1,27500.0,24500.0,0.5,llm,統計モデルは1.5〜1.7万と低めだが、同年式・同車種のプロマスター2500の実成約は2.6〜2.8万円台で、走行距離も1.8万マイルと少なく状態excellent。モデル値と類似事例の中間やや上を採用した。,17443.348565410673,15807.4150390625,33990.0,28304.928423905578
1,17995.0,16800.0,0.62,llm,"統計モデル（15,600〜17,000）を出発点に、Touring Elite最上級グレード・整備記録・無事故という加点要素を考慮しやや上振れさせた。ただし14万マイルと走行距離が多い点で上限は抑えた。",16328.513646570258,15602.3515625,16995.0,15394.541215131292
1,9995.0,12800.0,0.6,llm,"統計モデル（約11,000）と類似事例（13,000〜15,000）の中間を取り、走行距離が17.6万マイルと多い点を減点、ハイブリッドバッテリー交換済み・新品タイヤ・フル装備・1オーナーを加点した。",11078.2923178597,10976.099609375,14900.0,11623.316200612311
1,7985.0,7500.0,0.62,llm,"統計モデルの約8,000を出発点に、類似事例が6,300〜8,000（中央値約7,000）に分布するため中間に寄せた。無事故・低走行・良好な整備状態の記述はプラス材料だが宣伝色も強いため過度な上振れは避けた。",8030.272485728069,7925.70556640625,6995.0,7265.1106453204775
1,8100.0,8300.0,0.55,llm,統計モデル予測(8.6k〜9.6k)を出発点に、rebuilt名義による減価を重視。類似事例のclean車は11k〜13kだがsalvage車は7.1kであり、その中間帯に置いた。,8602.906454758642,9640.99609375,10994.0,9157.554294227708
1,13995.0,10800.0,0.6,llm,統計モデル2件が約1.03万、近傍中央値1.1万で概ね一致。BHPH系ディーラー出品でクリーンタイトル・ワンオーナー記載のため、若干上振れの1.08万とした。,10316.966777829604,10294.583984375,11000.0,11521.871124009062
1,5500.0,5700.0,0.72,llm,"説明文に「only $5,500」と出品価格が明記されており、これが最も直接的な証拠。統計モデル（約6,000〜7,100）と類似事例（5,800〜9,000）よりやや低いが、記載価格を重視しつつ低走行を若干加味した。",5994.872934124315,7088.18359375,6950.0,5503.08065191062
1,7692.0,7400.0,0.6,llm,"統計モデル予測(約6,400〜6,600)を出発点に、説明文に明示された販売価格$7,692とディーラー出品（レザーパッケージ、Clean CARFAX）を加味して上方修正。類似事例もRWDは低め、4WDは高めで幅が広いため確信度は中程度。",6631.25627526321,6395.53271484375,7800.0,6298.828978968798
1,6995.0,5600.0,0.5,llm,"統計モデル（約5,200〜5,400）を出発点に、走行距離が多い同年式のOH州事例（3,995・6,800）を考慮。excellent状態でV6・アロイ・パレードブート等の装備記載があるため、やや上振れさせた。",5165.479232185807,5411.7939453125,6800.0,5326.956011270216
1,8995.0,8900.0,0.63,llm,"LightGBMと近傍中央値（約9,000）が類似事例8,900〜9,500と整合するため、その水準を採用。Buy Here Pay Here業者の出品で価格は割高になりにくく、走行距離もやや多いため上振れさせなかった。",9222.828474993947,6663.0263671875,8995.0,8890.704672811422
1,6995.0,6995.0,0.72,llm,"説明文に販売店の提示価格6,995ドルが明記されており、統計モデル予測(7,600〜8,100)や類似事例の中位帯とも整合するため、実売価格として提示額を採用した。",8063.660889397384,7601.3203125,7995.0,6035.84069406398
1,10995.0,10500.0,0.6,llm,"統計モデル予測（約9,000）と類似事例中央値10,500の間で、V8テクノロジーパッケージ・ナビ・革・保証付きの正規ディーラー出品（提示価格10,995ドル）を加味し上寄せした。",8975.769258953946,9144.1435546875,10500.0,10379.342910646224
1,4000.0,3900.0,0.6,llm,統計モデル2つが3.7〜3.9千で一致し、走行20万マイル・fwd・good状態と条件が弱め。類似事例の高価格帯はexcellentや4WD車のため重視せず、説明文も個人売却の簡素な内容で加点材料なし。,3730.2981325917667,3902.609375,4999.0,4282.090668053316
1,19999.0,19999.0,0.8,llm,"説明文に出品価格$19,999が明記されており、走行20万マイル超・V6のワークトラックという条件とも整合する。統計モデル予測（約23,000）や類似事例は低走行車が多く割高なため、記載価格を重視した。",23001.053493237756,23281.283203125,25990.0,20693.747882447427
1,2250.0,2350.0,0.75,llm,"説明文に「2,250 obo」と出品者自身の提示価格が明記されており、これは統計モデルが読めていない決定的情報。モデル予測4,500台より大幅に低いため、提示価格をほぼそのまま採用した。",4601.742520259421,4533.25830078125,4495.0,4072.705921097372
1,7990.0,7500.0,0.62,llm,"類似事例が6,500〜9,900で中央値7,000付近、統計モデルも7,700〜9,700と幅がある。ディーラー出品のテンプレ説明で特記事項がないため、両者の中間やや下の7,500とした。",9698.586100176644,7717.361328125,7000.0,7446.987899680548
1,2500.0,3200.0,0.5,llm,"統計モデル（3,525/4,207）と類似事例（1,234〜5,197）の中間帯を採用。急ぎ売却（ASAP）と個人出品はやや下押し要因だが、6MT・AWD・レザー等の装備で相殺。",3525.071335074546,4206.74609375,2999.0,3274.538604593991
1,10995.0,9800.0,0.62,llm,"統計モデル（約9,300〜9,800）を起点に、類似事例は7,500〜8,975と幅があるが、本件は説明文に提示価格$10,995が明記されたディーラー出品でAWD・革内装・ナビ等の装備が充実するため上寄りと判断した。",9760.29350156614,9281.630859375,7500.0,8913.107141811981
1,48750.0,51500.0,0.6,llm,統計モデル(54-55k)と類似事例中央値(約49-50k)の中間を採用。XLTグレードでディーゼル4x4だが装備は標準的、BHPH系店舗の広告文で価格上振れ要因は乏しいため中庸に設定。,54397.40313402218,55578.69140625,49998.0,52112.19911767303
1,49995.0,45000.0,0.4,llm,"類似事例は高価格のディーゼル4WD上級車が中心で、査定対象は6.0Lガソリン・rwdのフラットベッド商用車のため割安。統計モデル2つ（38k〜44k）を出発点に、走行1.6千マイルの少なさを加味して45,000ドルとした。",44207.214499553935,38391.35546875,69998.0,42476.7136296664
1,41590.0,34590.0,0.6,llm,"統計モデル予測(32-33千ドル)を出発点に、T8はプラグインハイブリッドの最上級グレードでT6 R-Design(33,590〜36,590)より上位のため、やや上振れさせた。Carvana出品で事故歴なしの標準的な記述。",32037.99317404293,33238.0859375,30590.0,34437.968673334646
1,2999.0,3700.0,0.72,llm,"類似事例が2,595〜4,000に密集しており、GBM予測(5,000台)より近傍の価格帯が信頼できる。説明文に特記事項はなく、同州オハイオの事例4,000も参考に3,700とした。",5095.08397982063,5411.05224609375,3500.0,2758.6470497502
1,4500.0,4300.0,0.55,llm,"統計モデル（LGBM約5,083、XGB約4,194）を出発点とし、説明文にディーラー掲示価格4,500ドルが明記されている点を重視した。類似事例は1,000〜4,740ドルと幅が広いが、ディーラー出品で状態記載も悪くないため上寄りの4,300ドルとした。",5082.576755547737,4193.85400390625,2500.0,6780.240364661074
1,17954.0,16500.0,0.6,llm,類似事例が11-21千ドル（中央値約15千）に集中しており、GBMの29千ドルは高すぎると判断。TitaniumグレードでパノラマルーフやCPO等の上級装備がある点を加味し、中央値より若干上に設定した。,29422.358704449165,29033.857421875,14990.0,19290.6066640371
1,11999.0,11200.0,0.6,llm,統計モデル9.4k〜11.0kを出発点に、車齢が類似事例より若く（6年）ディーラー整備・保証付き・装備充実の記述を加味して上寄りに調整した。,10155.86246309159,9381.7109375,10995.0,12624.741597683036
